Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,1,1,0,1,Iris-setosa
2,1,0,0,1,Iris-setosa
3,1,0,0,1,Iris-setosa
4,1,0,0,1,Iris-setosa
5,1,1,0,1,Iris-setosa
6,1,1,0,1,Iris-setosa
7,1,1,0,1,Iris-setosa
8,1,1,0,1,Iris-setosa
9,1,0,0,1,Iris-setosa
10,1,0,0,1,Iris-setosa
11,1,1,0,1,Iris-setosa
12,1,1,0,1,Iris-setosa
13,1,0,0,1,Iris-setosa
14,1,0,0,1,Iris-setosa
15,0,1,0,1,Iris-setosa
16,0,1,0,1,Iris-setosa
17,1,1,0,1,Iris-setosa
18,1,1,0,1,Iris-setosa
19,0,1,0,1,Iris-setosa
20,1,1,0,1,Iris-setosa
21,1,1,0,1,Iris-setosa
22,1,1,0,1,Iris-setosa
23,1,1,0,1,Iris-setosa
24,1,0,0,1,Iris-setosa
25,1,1,0,1,Iris-setosa
26,1,0,0,1,Iris-setosa
27,1,1,0,1,Iris-setosa
28,1,1,0,1,Iris-setosa
29,1,1,0,1,Iris-setosa
30,1,0,0,1,Iris-setosa
31,1,0,0,1,Iris-setosa
32,1,1,0,1,Iris-setosa
33,1,1,0,1,Iris-setosa
34,0,1,0,1,Iris-setosa
35,1,0,0,1,Iris-setosa
36,1,0,0,1,Iris-setosa
37,0,1,0,1,Iris-setosa
38,1,0,0,1,Iris-setosa
39,1,0,0,1,Iris-setosa
40,1,1,0,1,Iris-setosa
41,1,1,0,1,Iris-setosa
42,1,2,0,1,Iris-setosa
43,1,0,0,1,Iris-setosa
44,1,1,0,1,Iris-setosa
45,1,1,0,1,Iris-setosa
46,1,0,0,1,Iris-setosa
47,1,1,0,1,Iris-setosa
48,1,0,0,1,Iris-setosa
49,1,1,0,1,Iris-setosa
50,1,0,0,1,Iris-setosa
51,2,0,2,2,Iris-versicolor
52,0,0,2,2,Iris-versicolor
53,2,0,2,2,Iris-versicolor
54,0,2,2,2,Iris-versicolor
55,2,0,2,2,Iris-versicolor
56,0,0,2,2,Iris-versicolor
57,0,0,2,2,Iris-versicolor
58,1,2,2,2,Iris-versicolor
59,2,0,2,2,Iris-versicolor
60,1,2,2,2,Iris-versicolor
61,1,2,2,2,Iris-versicolor
62,0,0,2,2,Iris-versicolor
63,0,2,2,2,Iris-versicolor
64,0,0,2,2,Iris-versicolor
65,0,0,2,2,Iris-versicolor
66,2,0,2,2,Iris-versicolor
67,0,0,2,2,Iris-versicolor
68,0,2,2,2,Iris-versicolor
69,0,2,2,2,Iris-versicolor
70,0,2,2,2,Iris-versicolor
71,0,0,2,0,Iris-versicolor
72,0,0,2,2,Iris-versicolor
73,0,2,2,2,Iris-versicolor
74,0,0,2,2,Iris-versicolor
75,0,0,2,2,Iris-versicolor
76,2,0,2,2,Iris-versicolor
77,2,0,2,2,Iris-versicolor
78,2,0,2,0,Iris-versicolor
79,0,0,2,2,Iris-versicolor
80,0,2,2,2,Iris-versicolor
81,0,2,2,2,Iris-versicolor
82,0,2,2,2,Iris-versicolor
83,0,2,2,2,Iris-versicolor
84,0,2,1,2,Iris-versicolor
85,1,0,2,2,Iris-versicolor
86,0,1,2,2,Iris-versicolor
87,2,0,2,2,Iris-versicolor
88,0,2,2,2,Iris-versicolor
89,0,0,2,2,Iris-versicolor
90,0,2,2,2,Iris-versicolor
91,0,2,2,2,Iris-versicolor
92,0,0,2,2,Iris-versicolor
93,0,2,2,2,Iris-versicolor
94,1,2,2,2,Iris-versicolor
95,0,2,2,2,Iris-versicolor
96,0,0,2,2,Iris-versicolor
97,0,0,2,2,Iris-versicolor
98,0,0,2,2,Iris-versicolor
99,1,2,2,2,Iris-versicolor
100,0,0,2,2,Iris-versicolor
101,0,0,1,0,Iris-virginica
102,0,2,1,0,Iris-virginica
103,2,0,1,0,Iris-virginica
104,0,0,1,0,Iris-virginica
105,2,0,1,0,Iris-virginica
106,2,0,1,0,Iris-virginica
107,1,2,2,0,Iris-virginica
108,2,0,1,0,Iris-virginica
109,2,2,1,0,Iris-virginica
110,2,1,1,0,Iris-virginica
111,2,0,1,0,Iris-virginica
112,0,2,1,0,Iris-virginica
113,2,0,1,0,Iris-virginica
114,0,2,2,0,Iris-virginica
115,0,0,1,0,Iris-virginica
116,0,0,1,0,Iris-virginica
117,2,0,1,0,Iris-virginica
118,2,1,1,0,Iris-virginica
119,2,2,1,0,Iris-virginica
120,0,2,2,2,Iris-virginica
121,2,0,1,0,Iris-virginica
122,0,0,2,0,Iris-virginica
123,2,0,1,0,Iris-virginica
124,0,2,2,0,Iris-virginica
125,2,0,1,0,Iris-virginica
126,2,0,1,0,Iris-virginica
127,0,0,2,0,Iris-virginica
128,0,0,2,0,Iris-virginica
129,0,0,1,0,Iris-virginica
130,2,0,1,2,Iris-virginica
131,2,0,1,0,Iris-virginica
132,2,1,1,0,Iris-virginica
133,0,0,1,0,Iris-virginica
134,0,0,1,2,Iris-virginica
135,0,2,1,2,Iris-virginica
136,2,0,1,0,Iris-virginica
137,0,1,1,0,Iris-virginica
138,0,0,1,0,Iris-virginica
139,0,0,2,0,Iris-virginica
140,2,0,1,0,Iris-virginica
141,2,0,1,0,Iris-virginica
142,2,0,1,0,Iris-virginica
143,0,2,1,0,Iris-virginica
144,2,0,1,0,Iris-virginica
145,2,0,1,0,Iris-virginica
146,2,0,1,0,Iris-virginica
147,0,2,2,0,Iris-virginica
148,2,0,1,0,Iris-virginica
149,0,1,1,0,Iris-virginica
150,0,0,1,0,Iris-virginica
